urn,title,page_start,page_end,overlapp,digital_visning,comment
URN:NBN:no-nb_digibok_2013092407013,Aandelig Vivisektion,93,95,,,
URN:NBN:no-nb_digibok_2013092407013,Seksuelle Romaner,96,98,,,
URN:NBN:no-nb_digibok_2013092407013,Trosset,99,100,,,
URN:NBN:no-nb_digibok_2013092407013,Paa Forpost,101,102,,,
URN:NBN:no-nb_digibok_2013092407013,Literære Løver,103,104,,,
URN:NBN:no-nb_digibok_2013092407013,Bare det river!,105,106,,,
URN:NBN:no-nb_digibok_2013092407013,Perpetuum mobile,107,108,,,
URN:NBN:no-nb_digibok_2013092407013,Vikingeblod,109,109,,,
URN:NBN:no-nb_digibok_2013092407013,Aurea mediocritas,110,110,,,
URN:NBN:no-nb_digibok_2013092407013,Advokat Potemkin,111,112,,,
URN:NBN:no-nb_digibok_2013092407013,Veien til Korsika,113,118,,,
URN:NBN:no-nb_digibok_2013092407013,Tidens Interdikt,119,119,,,
URN:NBN:no-nb_digibok_2013092407013,Sisyfos,120,124,,,
URN:NBN:no-nb_digibok_2013092407013,Sønderbrudte Penater,125,126,,,
URN:NBN:no-nb_digibok_2013092407013,Nordlys,127,129,,,
URN:NBN:no-nb_digibok_2013092407013,Gjengangerbrev,130,137,,,
URN:NBN:no-nb_digibok_2013092407013,Tannhäuser,138,142,,,
URN:NBN:no-nb_digibok_2013092407013,Evolution og Evighed,143,146,,,
URN:NBN:no-nb_digibok_2013092407013,Morituri te salutant!,147,148,,,
URN:NBN:no-nb_digibok_2013092407013,Dødens Bytte,149,151,,,
URN:NBN:no-nb_digibok_2013092407013,Danse macabre,152,153,,,
URN:NBN:no-nb_digibok_2014030707024,Lyrik og Satire,8,9,,,kursiv
URN:NBN:no-nb_digibok_2014030707024,Venedigs Fødsel,10,11,,,fotnoter begge s.
URN:NBN:no-nb_digibok_2014030707024,Havets Sonet,12,12,,,
URN:NBN:no-nb_digibok_2014030707024,Venezia-Vineta,13,13,,,
URN:NBN:no-nb_digibok_2014030707024,Rom i sin Forfaldstid,14,22,,,
URN:NBN:no-nb_digibok_2014030707024,Marc-Aurels Statue paa Capitol,23,24,,,fotnote s. 24
URN:NBN:no-nb_digibok_2014030707024,Fra det romerske Gadeliv,25,26,,,
URN:NBN:no-nb_digibok_2014030707024,"Skaaltale for ""Norden""",27,32,,,fotn 30
URN:NBN:no-nb_digibok_2014030707024,Til Henrik Ibsen,33,36,,,
URN:NBN:no-nb_digibok_2014030707024,Til en presset Fiol,37,38,,,
URN:NBN:no-nb_digibok_2014030707024,Naar med Myrt i dit Haar,39,39,,,
URN:NBN:no-nb_digibok_2014030707024,Ved Afskeden,40,41,,,
URN:NBN:no-nb_digibok_2014030707024,Til min Fader,42,43,,,
URN:NBN:no-nb_digibok_2014030707024,Hymne til Vaaren,44,45,,,
URN:NBN:no-nb_digibok_2014030707024,Rugden er kommen,46,47,,,
URN:NBN:no-nb_digibok_2014030707024,Maimorgen,48,49,,,
URN:NBN:no-nb_digibok_2014030707024,Høifjeldsvand,50,51,,,
URN:NBN:no-nb_digibok_2014030707024,Skovsus,52,53,,,
URN:NBN:no-nb_digibok_2014030707024,Høstnat,54,54,,,
URN:NBN:no-nb_digibok_2014030707024,Julenat,55,57,,,
URN:NBN:no-nb_digibok_2014030707024,Beethoven,58,61,,,
URN:NBN:no-nb_digibok_2014030707024,Stjerneklart,62,63,,,
URN:NBN:no-nb_digibok_2014030707024,Kantate,64,67,,,kor-replikker
URN:NBN:no-nb_digibok_2014030707024,Sang ved Holbergsfesten,68,70,,,
URN:NBN:no-nb_digibok_2014030707024,Hilsen til Russen,71,73,,,
URN:NBN:no-nb_digibok_2014030707024,Ved den norske Studentersangforenings 49-Aarsfest,74,75,,,
URN:NBN:no-nb_digibok_2014030707024,Digtet om Digtet,76,87,,,
URN:NBN:no-nb_digibok_2014030707024,Bel i Babylon,88,94,,,
URN:NBN:no-nb_digibok_2014030707024,Den pantsatte Bondedreng,95,95,,,
URN:NBN:no-nb_digibok_2014030707024,"""Var dig, Bonde, nu kommer Garden""",96,98,,,fotnote 96
URN:NBN:no-nb_digibok_2014030707024,Syttende mai 1884,99,100,,,
URN:NBN:no-nb_digibok_2014030707024,Mongolsk Kjæmpevise,101,103,,,
URN:NBN:no-nb_digibok_2014030707024,Ode til Cimbrer og Teutoner,104,105,,,
URN:NBN:no-nb_digibok_2014030707024,Ars amandi,106,111,,,
URN:NBN:no-nb_digibok_2014030707024,Moderne Vikingetog,112,118,,,
URN:NBN:no-nb_digibok_2014030707024,Aandsfrihed,119,120,,,
URN:NBN:no-nb_digibok_2014030707024,Byg dig et Crematorium!,121,125,,,
URN:NBN:no-nb_digibok_2014030707024,Til den store Bøigen,126,129,,,
URN:NBN:no-nb_digibok_2014030707024,Historisk Firkort,130,134,,,
URN:NBN:no-nb_digibok_2014030707024,Inferno,135,145,,,
URN:NBN:no-nb_digibok_2014030707024,Aforismen,146,149,,,
URN:NBN:no-nb_digibok_2006082400061,[introdikt],10,12,,,Ikke så bra OCR jamt over
URN:NBN:no-nb_digibok_2006082400061,Byrd og Stamme,16,20,,,
URN:NBN:no-nb_digibok_2006082400061,Sagadrømme,21,26,,,"1. 21-23, 2. 23-26"
URN:NBN:no-nb_digibok_2006082400061,Efter Borgerkrige,27,29,,,
URN:NBN:no-nb_digibok_2006082400061,En Theori,30,34,,,
URN:NBN:no-nb_digibok_2006082400061,Kirken [1.],35,38,,,
URN:NBN:no-nb_digibok_2006082400061,Kirken [2.],39,42,,,
URN:NBN:no-nb_digibok_2006082400061,Kirken [3.],43,46,,,
URN:NBN:no-nb_digibok_2006082400061,Evolutionen,47,52,,,
URN:NBN:no-nb_digibok_2006082400061,Pygmalion og Aandepustet,53,60,,,
URN:NBN:no-nb_digibok_2006082400061,E pur si muove!,61,67,,,
URN:NBN:no-nb_digibok_2006082400061,Holberg,68,73,,,
URN:NBN:no-nb_digibok_2006082400061,I Bygderne,74,79,,,
URN:NBN:no-nb_digibok_2006082400061,Gjenfødt Rige,82,84,,,
URN:NBN:no-nb_digibok_2006082400061,Er forbi den smukke Drøm?,85,87,,,
URN:NBN:no-nb_digibok_2006082400061,Kampe,88,92,,,
URN:NBN:no-nb_digibok_2006082400061,Strømme to sig blande,93,96,,,
URN:NBN:no-nb_digibok_2006082400061,Bjørnson [1.],97,100,,,
URN:NBN:no-nb_digibok_2006082400061,Bjørnson [2.],101,104,,,
URN:NBN:no-nb_digibok_2006082400061,Til Ibsenske Texter [1.],105,107,,,
URN:NBN:no-nb_digibok_2006082400061,Til Ibsenske Texter [2.],108,110,,,
URN:NBN:no-nb_digibok_2006082400061,Til Ibsenske Texter [3.],111,115,,,
URN:NBN:no-nb_digibok_2006082400061,Patient og Poeter,116,120,,,
URN:NBN:no-nb_digibok_2006082400061,Kunstnere [1.],121,126,,,
URN:NBN:no-nb_digibok_2006082400061,Kunstnere [2.],127,129,,,
URN:NBN:no-nb_digibok_2006082400061,Ugild Politik,130,133,,,
URN:NBN:no-nb_digibok_2006082400061,Publikum,134,138,,,
URN:NBN:no-nb_digibok_2006082400061,Fæste,139,144,,,
URN:NBN:no-nb_digibok_2017102348005,Fingerøvelser,10,10,,,
URN:NBN:no-nb_digibok_2017102348005,Viften,14,15,,,
URN:NBN:no-nb_digibok_2017102348005,Maaneskin,16,20,,,to sider uten tekst separerer nest siste og siste side i diktet (illustrasjon)
URN:NBN:no-nb_digibok_2017102348005,Adonisblomsten,21,25,,,
URN:NBN:no-nb_digibok_2017102348005,Den hvide Mands Vaaben,26,29,,,
URN:NBN:no-nb_digibok_2017102348005,Ungkarl desværre!,30,31,,,
URN:NBN:no-nb_digibok_2017102348005,En Soirée,34,36,,,
URN:NBN:no-nb_digibok_2017102348005,Paa Bal,37,40,,,to sider uten tekst separerer første og siste side i diktet (illustr.)
URN:NBN:no-nb_digibok_2017102348005,Den første Rose,41,46,,,to sider uten tekst inni (illustr.)
URN:NBN:no-nb_digibok_2017102348005,Blid Avsked,47,48,,,
URN:NBN:no-nb_digibok_2017102348005,Garnvinden,49,52,,,
URN:NBN:no-nb_digibok_2017102348005,Russiske Nihilister,53,54,,,
URN:NBN:no-nb_digibok_2017102348005,Saratoga-Søens Aand,55,59,,,to sider uten tekst inni (illustr.)
URN:NBN:no-nb_digibok_2017102348005,Gjennem livet,60,61,,,
URN:NBN:no-nb_digibok_2017102348005,Pandoras Æske ,62,70,,,to sider uten tekst inni (illustr.)
URN:NBN:no-nb_digibok_2017102348005,Øiensproget,71,73,,,
URN:NBN:no-nb_digibok_2017102348005,Diamantringen,74,75,,,
URN:NBN:no-nb_digibok_2017102348005,Vore Damer,78,80,,,
URN:NBN:no-nb_digibok_2017102348005,En Skuespillerinde,81,82,,,
URN:NBN:no-nb_digibok_2017102348005,Kjærlighed,83,85,,,
URN:NBN:no-nb_digibok_2014110308039,Summarisk Indhold,8,8,,,
URN:NBN:no-nb_digibok_2014110308039,"""Ernst und Kurtzweil"" Claudius",9,9,,,
URN:NBN:no-nb_digibok_2014110308039,Til Bogen,10,12,,,fotn s. 10
URN:NBN:no-nb_digibok_2014110308039,Bogens Tilegnelse,13,14,,,obs: liten prosabit på starten
URN:NBN:no-nb_digibok_2014110308039,Mit første Digt,15,16,x,,
URN:NBN:no-nb_digibok_2014110308039,Min første Sorg,16,17,x,,
URN:NBN:no-nb_digibok_2014110308039,Ved min Fosterfaders Grav,17,18,x,,
URN:NBN:no-nb_digibok_2014110308039,[uten tittel],18,19,x,,
URN:NBN:no-nb_digibok_2014110308039,John Miltons Skygge,20,20,x,,
URN:NBN:no-nb_digibok_2014110308039,Johannes Ewalds Hjem,20,24,x,,
URN:NBN:no-nb_digibok_2014110308039,Under Ewalds Billede,25,25,x,,
URN:NBN:no-nb_digibok_2014110308039,Gul-Spurven,25,27,x,,
URN:NBN:no-nb_digibok_2014110308039,Fagerfuglen i Frommerede,27,30,x,,
URN:NBN:no-nb_digibok_2014110308039,Ægte Perler,30,32,x,,
URN:NBN:no-nb_digibok_2014110308039,En Dag paa Hope,32,35,x,,
URN:NBN:no-nb_digibok_2014110308039,En Aften paa Sætre,35,37,x,,
